accuracy,precision,recall,f1,roc_auc,eer,split,model,threshold
0.9925177702955481,0.9981006647673314,0.9924457034938622,0.9952651515151515,0.9996818348093135,0.00738075185667251,val,SVM,0.9563052986872308
0.9912216532553035,0.9981006647673314,0.9905749293119699,0.9943235572374646,0.9991691461378771,0.008326249129875021,test,SVM,0.9563052986872308
0.9801720912832024,0.9947292764734068,0.9801699716713881,0.9873959571938169,0.998188840398472,0.019824924074215867,val,Random Forest,0.64
0.9743964886613021,0.9890371782650142,0.9778510838831291,0.9834123222748815,0.9956293544750605,0.03049287575539172,test,Random Forest,0.64
0.9779274223718668,0.9942390782525204,0.97780925401322,0.985955724827422,0.9967137108780169,0.021906183804200785,val,Gradient Boosting,0.6180714451369784
0.972201901975128,0.9871428571428571,0.9769085768143261,0.9819990525817148,0.9949093837975027,0.03459324351795385,test,Gradient Boosting,0.6180714451369784
